key	file	line	en	zh-TW	zh-CN	raw
dnav.golden_hand	Components/Navigation/DungeonNav.cs	1445	Golden hand	黃金之手	黄金之手	
dnav.save_point	Components/Navigation/DungeonNav.cs;Components/RoomActionMenu.cs	1248;49	Save point	存檔點	存档点	
dnav.interactable	Components/Navigation/DungeonNav.cs	1249	Interactable	可互動物件	可互动物件	
dnav.person_n	Components/Navigation/DungeonNav.cs	1242;1246	Person {0}	人物{0}	人物{0}	$"Person {(ushort)id}"
dnav.the_chest	Components/Navigation/DungeonNav.cs	720	the chest	寶箱	宝箱	
dnav.floor_jump_unavailable	Components/Navigation/DungeonNav.cs	1806	Floor jump not available here.	這裡不能跳樓層。	这里不能跳楼层。	
dnav.no_next_floor	Components/Navigation/DungeonNav.cs	1807	No next floor.	沒有下一層。	没有下一层。	$"No {(dir > 0 ? "next" : "previous")} floor."
dnav.no_previous_floor	Components/Navigation/DungeonNav.cs	1807	No previous floor.	沒有上一層。	没有上一层。	$"No {(dir > 0 ? "next" : "previous")} floor."
dnav.teleporting_to	Components/Navigation/DungeonNav.cs	1812	Teleporting to {0}.	正在傳送到{0}。	正在传送到{0}。	$"Teleporting to {target.name}."
dnav.teleporting_next	Components/Navigation/DungeonNav.cs	1836	Teleporting to the next floor.	正在傳送到下一層。	正在传送到下一层。	
dnav.teleporting_previous	Components/Navigation/DungeonNav.cs	1836	Teleporting to the previous floor.	正在傳送到上一層。	正在传送到上一层。	
dnav.floor_jump_not_ready	Components/Navigation/DungeonNav.cs	1846	Floor jump not ready, try again.	跳樓層還沒準備好，請再試一次。	跳楼层还没准备好，请再试一次。	
dnav.teleport_not_ready	Components/Navigation/DungeonNav.cs;Components/Navigation/NavigationAssist.cs	1866;419	Teleport not ready, try again.	傳送還沒準備好，請再試一次。	传送还没准备好，请再试一次。	
npc.yosuke	Components/Navigation/DungeonNav.cs;Components/Battle/PartyStatus.cs;Components/ShopMenu.cs	1206;60;99	Yosuke	陽介	阳介	
npc.teddie	Components/Navigation/DungeonNav.cs;Components/Battle/PartyStatus.cs;Components/ShopMenu.cs	1207;66;99	Teddie	熊	熊	
npc.chie	Components/Navigation/DungeonNav.cs;Components/Battle/PartyStatus.cs;Components/ShopMenu.cs	1208;61;99	Chie	千枝	千枝	
npc.yukiko	Components/Navigation/DungeonNav.cs;Components/Battle/PartyStatus.cs;Components/ShopMenu.cs	1209;62;99	Yukiko	雪子	雪子	
npc.kanji	Components/Navigation/DungeonNav.cs;Components/Battle/PartyStatus.cs;Components/ShopMenu.cs	1210;64;99	Kanji	完二	完二	
npc.rise	Components/Navigation/DungeonNav.cs;Components/Battle/PartyStatus.cs;Components/ShopMenu.cs	1211;63;99	Rise	理世	理世	
npc.naoto	Components/Navigation/DungeonNav.cs;Components/Battle/PartyStatus.cs;Components/ShopMenu.cs	1212;65;99	Naoto	直斗	直斗	
npc.fox	Components/Navigation/DungeonNav.cs;Components/CommandMenus/PlayerMenu.cs	1213;767	Fox	狐狸	狐狸	
npc.you	Components/Navigation/DungeonNav.cs;Components/ShopMenu.cs;Components/CommandMenus/PlayerMenu.cs	1233;99;55	You	你	你	
npc.yu	Components/Battle/PartyStatus.cs	59	Yu	悠	悠	
npc.townsperson	Components/Navigation/OverworldNav.cs	779;782	Townsperson	鎮民	镇民	
npc.n	Components/Navigation/OverworldNav.cs	641	NPC {0}	NPC {0}	NPC {0}	$"NPC {person}"
onav.cat.places	Components/Navigation/OverworldNav.cs	63	Places	地點	地点	
onav.cat.exits	Components/Navigation/OverworldNav.cs	63	Exits	出口	出口	
onav.cat.npcs	Components/Navigation/OverworldNav.cs	65	NPCs	NPC	NPC	
onav.cat.other	Components/Navigation/OverworldNav.cs	63	Other	其他	其他	
onav.none_here	Components/Navigation/OverworldNav.cs	888;926	{0}: none here.	{0}：這裡沒有。	{0}：这里没有。	$"{CatName(cat)}: none here."
onav.list_open	Components/Navigation/OverworldNav.cs	892	{0}: {1}. {2}.	{0}：{1}個。{2}。	{0}：{1}个。{2}。	$"{CatName(cat)}: {_entries.Count}. {Say(_entries[0])}."
onav.entry_ordinal	Components/Navigation/OverworldNav.cs	936	{0}, {1} of {2}.	{0}，第{1}個，共{2}個。	{0}，第{1}个，共{2}个。	$"{Say(_entries[_cursor])}, {_cursor + 1} of {_entries.Count}."
onav.entry_steps	Components/Navigation/OverworldNav.cs	850	{0}, {1} steps	{0}，{1}步	{0}，{1}步	$"{e.t.Name}, {steps} step{(steps == 1 ? "" : "s")}"
onav.where_is	Components/Navigation/OverworldNav.cs	950	{0}: {1}, {2} steps.	{0}：{1}，{2}步。	{0}：{1}，{2}步。	$"{t.Name}: {dir}, {steps} step{(steps == 1 ? "" : "s")}."
onav.not_a_person	Components/Navigation/OverworldNav.cs	989	{0} is not a person, no id to rename.	{0}不是人物，沒有可改名的ID。	{0}不是人物，没有可改名的ID。	$"{t.Name} is not a person, no id to rename."
onav.id_info	Components/Navigation/OverworldNav.cs	997	{0}. Area {1} {2}. Id {3}. Model {4}.	{0}。區域{1} {2}。ID {3}。模型{4}。	{0}。区域{1} {2}。ID {3}。模型{4}。	$"{t.Name}. Area {maj} {min}. Id {spoken}. Model {mkSpoken}."
onav.select_target_first	Components/Navigation/OverworldNav.cs	1050;1073;1211	Select a target first.	請先選擇目標。	请先选择目标。	
onav.spot_recorded	Components/Navigation/OverworldNav.cs	1055	Recorded the spot for {0}. Auto walk will use it next time.	已記下{0}的位置，下次自動行走會使用。	已记下{0}的位置，下次自动行走会使用。	$"Recorded the spot for {t.Name}. Auto walk will use it next time."
onav.beacon_on_target	Components/Navigation/OverworldNav.cs	1075	Beacon on: {0}.	信標開啟：{0}。	信标开启：{0}。	$"Beacon on: {t.Name}."
onav.walking_to	Components/Navigation/OverworldNav.cs	1215;1249	Walking to {0}.	正走向{0}。	正走向{0}。	$"Walking to {t.Name}."
onav.walk_cancelled	Components/Navigation/OverworldNav.cs	504	Walk cancelled.	行走已取消。	行走已取消。	
onav.cant_walk_blocked	Components/Navigation/OverworldNav.cs	1381	Can't walk from here, blocked.	沒辦法從這裡走，被擋住了。	没办法从这里走，被挡住了。	
onav.at_exit	Components/Navigation/OverworldNav.cs	1627	At {0}. Walk forward to leave.	已到{0}。往前走即可離開。	已到{0}。往前走即可离开。	$"At {t.Name}. Walk forward to leave."
onav.action_available	Components/Navigation/OverworldNav.cs	1638	{0}. {1} available.	{0}。可以{1}。	{0}。可以{1}。	$"{t.Name}. {word} available."
onav.turn_to_find	Components/Navigation/OverworldNav.cs	1639	You're at {0}. Turn to find the {1}.	你在{0}。轉身尋找{1}。	你在{0}。转身寻找{1}。	$"You're at {t.Name}. Turn to find the {(npc ? "person" : "check")}."
onav.word_talk	Components/Navigation/OverworldNav.cs	1637	Talk	交談	交谈	
onav.word_check	Components/Navigation/OverworldNav.cs	1637	Check	調查	调查	
onav.word_person	Components/Navigation/OverworldNav.cs	1639	person	人	人	
onav.word_check_lower	Components/Navigation/OverworldNav.cs	1639	check	調查點	调查点	
onav.check_available	Components/Navigation/OverworldNav.cs	1658;1685	{0}. Check available.	{0}。可以調查。	{0}。可以调查。	$"{t.Name}. Check available."
onav.turn_to_check	Components/Navigation/OverworldNav.cs	1662	You're at {0}. Turn to face it to check.	你在{0}。轉向它就能調查。	你在{0}。转向它就能调查。	$"You're at {t.Name}. Turn to face it to check."
onav.no_check_now	Components/Navigation/OverworldNav.cs	1687	At {0}, but there's no check here right now.	已到{0}，但現在這裡沒有可調查的。	已到{0}，但现在这里没有可调查的。	$"At {t.Name}, but there's no check here right now."
onav.no_check_prompt	Components/Navigation/OverworldNav.cs	1134	At {0}, no check prompt here right now.	已到{0}，現在沒有調查提示。	已到{0}，现在没有调查提示。	$"At {t.Name}, no check prompt here right now."
onav.area_changed	Components/Navigation/OverworldNav.cs	1695	Area changed, walk ended.	區域改變，行走結束。	区域改变，行走结束。	
onav.couldnt_reach	Components/Navigation/OverworldNav.cs	2088	Couldn't reach {0}. It's {1} steps away.	無法抵達{0}，距離{1}步。	无法抵达{0}，距离{1}步。	$"Couldn't reach {t.Name}. It's {steps} steps away."
onav.walk_timed_out	Components/Navigation/OverworldNav.cs	2123	Walk timed out.	行走逾時。	行走超时。	
onav.unknown_trigger	Components/Navigation/OverworldNav.cs	335	Unknown trigger	未知觸發點	未知触发点	
zone.announce	Components/Navigation/OverworldZones.cs	146	{0}.	{0}。	{0}。	$"{zone}."
zone.no_description	Components/Navigation/OverworldZones.cs	182	No description for this place yet.	這個地方還沒有描述。	这个地方还没有描述。	
zone.description	Components/Navigation/OverworldZones.cs	192	{0}. {1} {2}	{0}。{1} {2}	{0}。{1} {2}	$"{zoneName}. {detail} {desc}"
beacon.off	Components/Navigation/NavBeacon.cs;Components/Navigation/OverworldNav.cs	167;1072	Beacon off.	信標關閉。	信标关闭。	
beacon.select_first	Components/Navigation/NavBeacon.cs	182	Select something to beacon first.	請先選擇要設信標的目標。	请先选择要设信标的目标。	
beacon.moved	Components/Navigation/NavBeacon.cs	191	Beacon moved.	信標已移動。	信标已移动。	
beacon.on	Components/Navigation/NavBeacon.cs	198	Beacon on.	信標開啟。	信标开启。	
beacon.missing_sound	Components/Navigation/ProximityBeacon.cs	155	{0} unavailable, sound file missing.	{0}無法使用，缺少音效檔。	{0}无法使用，缺少音效文件。	$"{Label} unavailable, sound file missing."
beacon.label_off	Components/Navigation/ProximityBeacon.cs	162	{0} off.	{0}關閉。	{0}关闭。	$"{Label} off."
beacon.dungeon_only	Components/Navigation/ProximityBeacon.cs	166	{0} only works in dungeons.	{0}只能在迷宮中使用。	{0}只能在迷宫中使用。	$"{Label} only works in dungeons."
beacon.label_on	Components/Navigation/ProximityBeacon.cs	170	{0} on.	{0}開啟。	{0}开启。	$"{Label} on."
beacon.chest_label	Components/Navigation/ChestBeacon.cs	13	Chest beacon	寶箱信標	宝箱信标	
beacon.exit_label	Components/Navigation/ExitBeacon.cs	16	Exit beacon	出口信標	出口信标	
radar.off	Components/Navigation/EnemyRadar.cs	223	Shadow radar off.	陰影雷達關閉。	阴影雷达关闭。	
radar.dungeon_only	Components/Navigation/EnemyRadar.cs	231	Shadow radar only works in dungeons.	陰影雷達只能在迷宮中使用。	阴影雷达只能在迷宫中使用。	
radar.on	Components/Navigation/EnemyRadar.cs	237	Shadow radar on.	陰影雷達開啟。	阴影雷达开启。	
radar.strike	Components/Navigation/EnemyRadar.cs	327	Strike.	出擊。	出击。	
radar.dodge	Components/Navigation/EnemyRadar.cs	372	Dodge.	閃避。	闪避。	
wallhum.on	Components/Navigation/WallHum.cs	63;146	Wall sound on.	牆壁音效開啟。	墙壁音效开启。	
wallhum.off	Components/Navigation/WallHum.cs	63;146	Wall sound off.	牆壁音效關閉。	墙壁音效关闭。	
camnorth.field_only	Components/Navigation/CameraNorth.cs	86	Camera north only works in the field.	鏡頭朝北只能在場景中使用。	镜头朝北只能在场景中使用。	
camnorth.unreadable	Components/Navigation/CameraNorth.cs	88	Camera unreadable.	無法讀取鏡頭。	无法读取镜头。	
camnorth.done	Components/Navigation/CameraNorth.cs	90;134	Camera north.	鏡頭已朝北。	镜头已朝北。	
camnorth.unavailable	Components/Navigation/CameraNorth.cs	94	Camera control unavailable.	無法控制鏡頭。	无法控制镜头。	
camnorth.cant_turn	Components/Navigation/CameraNorth.cs	113	The camera can't be turned here.	這裡不能轉動鏡頭。	这里不能转动镜头。	
camnorth.failed	Components/Navigation/CameraNorth.cs	141	Camera could not reach north.	鏡頭轉不到北方。	镜头转不到北方。	
autowalk.heading_stairs	Components/Navigation/AutoWalk/AutoWalker.cs	133	Heading to the stairs.	正前往樓梯。	正前往楼梯。	
autowalk.arrived_find_door	Components/Navigation/AutoWalk/AutoWalker.cs	133	Arrived. Find the door to go to the next floor.	已到達。找到門就能前往下一層。	已到达。找到门就能前往下一层。	
autowalk.traveling_to	Components/Navigation/AutoWalk/AutoWalker.cs	141	Traveling to {0}.	正前往{0}。	正前往{0}。	$"Traveling to {label}."
autowalk.reached	Components/Navigation/AutoWalk/AutoWalker.cs	141;412	Reached {0}.	已到達{0}。	已到达{0}。	$"Reached {label}."
autowalk.reached_interact	Components/Navigation/AutoWalk/AutoWalker.cs	411	Reached {0}. Press to interact.	已到達{0}。按鍵互動。	已到达{0}。按键互动。	$"Reached {label}. Press to interact."
autowalk.heading_chest	Components/Navigation/AutoWalk/AutoWalker.cs	147	Heading to the chest.	正前往寶箱。	正前往宝箱。	
autowalk.at_chest_open	Components/Navigation/AutoWalk/AutoWalker.cs	160;406	At the chest. Press to open.	已到寶箱。按鍵開啟。	已到宝箱。按键开启。	
autowalk.at_chest	Components/Navigation/AutoWalk/AutoWalker.cs	160;406	At the chest.	已到寶箱。	已到宝箱。	
autowalk.heading_shadow	Components/Navigation/AutoWalk/AutoWalker.cs	182;441	Heading to the shadow.	正前往陰影。	正前往阴影。	
autowalk.failed	Components/Navigation/AutoWalk/AutoWalker.cs	215	Auto-walk failed.	自動行走失敗。	自动行走失败。	
autowalk.stairs_not_found	Components/Navigation/AutoWalk/AutoWalker.cs	344	Stairs not found. Explore more.	沒找到樓梯，再多探索一下。	没找到楼梯，再多探索一下。	
autowalk.no_route_stairs	Components/Navigation/AutoWalk/AutoWalker.cs	345	No route to the stairs.	沒有通往樓梯的路線。	没有通往楼梯的路线。	
autowalk.walking_stairs	Components/Navigation/AutoWalk/AutoWalker.cs	346	Walking to the stairs.	正走向樓梯。	正走向楼梯。	
autowalk.arrived_stairs_near	Components/Navigation/AutoWalk/AutoWalker.cs	354	Arrived. The stairs are near.	已到達。樓梯就在附近。	已到达。楼梯就在附近。	
autowalk.arrived_check_door	Components/Navigation/AutoWalk/AutoWalker.cs	354	Arrived. Check nearest door.	已到達。調查最近的門。	已到达。调查最近的门。	
autowalk.no_route_to	Components/Navigation/AutoWalk/AutoWalker.cs	377	No route to {0}.	沒有通往{0}的路線。	没有通往{0}的路线。	$"No route to {label}."
autowalk.walking_to	Components/Navigation/AutoWalk/AutoWalker.cs	378	Walking to {0}.	正走向{0}。	正走向{0}。	$"Walking to {label}."
autowalk.at_door_open	Components/Navigation/AutoWalk/AutoWalker.cs	409;1267	At the door. Press to open.	已到門前。按鍵開門。	已到门前。按键开门。	
autowalk.at_door	Components/Navigation/AutoWalk/AutoWalker.cs	409	At the door.	已到門前。	已到门前。	
autowalk.no_route_shadow	Components/Navigation/AutoWalk/AutoWalker.cs	440	No route to the shadow.	沒有通往陰影的路線。	没有通往阴影的路线。	
autowalk.stopped	Components/Navigation/AutoWalk/AutoWalker.cs	481	Auto-walk stopped.	自動行走已停止。	自动行走已停止。	
autowalk.stopped_sliding	Components/Navigation/AutoWalk/AutoWalker.cs	512	Stopped. Kept sliding off the route.	已停止。一直偏離路線。	已停止。一直偏离路线。	
autowalk.stopped_door	Components/Navigation/AutoWalk/AutoWalker.cs	579	Stopped. A door would not open.	已停止。有扇門打不開。	已停止。有扇门打不开。	
autowalk.stopped_stuck	Components/Navigation/AutoWalk/AutoWalker.cs	653	Stopped. Couldn't get through.	已停止。過不去。	已停止。过不去。	
autowalk.no_mapped_path	Components/Navigation/AutoWalk/AutoWalker.cs	1113	No mapped path to walk.	沒有已繪製的路徑可走。	没有已绘制的路径可走。	
autowalk.walking_steps	Components/Navigation/AutoWalk/AutoWalker.cs	1119	Walking to {0}, {1} steps.	正走向{0}，{1}步。	正走向{0}，{1}步。	$"Walking to {label.ToLowerInvariant()}, {totalSteps} step{(totalSteps == 1 ? "" : "s")}."
autowalk.at_stairs	Components/Navigation/AutoWalk/AutoWalker.cs	1267	At the stairs.	已到樓梯。	已到楼梯。	
autowalk.turn_right	Components/Navigation/AutoWalk/AutoWalker.cs	1299	Right, {0}.	右轉，{0}步。	右转，{0}步。	$"{(bend > 0 ? "Right" : "Left")}, {legSteps}."
autowalk.turn_left	Components/Navigation/AutoWalk/AutoWalker.cs	1299	Left, {0}.	左轉，{0}步。	左转，{0}步。	$"{(bend > 0 ? "Right" : "Left")}, {legSteps}."
autowalk.arrived_label	Components/Navigation/AutoWalk/AutoWalker.cs	1378	Arrived. {0}.	已到達。{0}。	已到达。{0}。	$"Arrived. {label}."
autowalk.right_there	Components/Navigation/AutoWalk/AutoWalker.cs	1384	{0} is right there, a step ahead.	{0}就在眼前，再一步。	{0}就在眼前，再一步。	$"{label} is right there, a step ahead."
autowalk.get_closer	Components/Navigation/AutoWalk/AutoWalker.cs	1435	Couldn't reach it from here. Try getting a little closer.	從這裡到不了，再靠近一點試試。	从这里到不了，再靠近一点试试。	
autowalk.right_ahead	Components/Navigation/AutoWalk/AutoWalker.cs	1566	It's right ahead.	就在正前方。	就在正前方。	
autowalk.close_as_possible	Components/Navigation/AutoWalk/AutoWalker.cs	1571	This is as close as I can get from here.	已經是最接近的位置了。	已经是最接近的位置了。	
autowalk.no_way_there	Components/Navigation/AutoWalk/AutoWalker.cs	1651	Can't find a way there.	找不到過去的路。	找不到过去的路。	
autowalk.no_shadow_nearby	Components/Navigation/AutoWalk/AutoWalker.cs	1713	No shadow nearby.	附近沒有陰影。	附近没有阴影。	
autowalk.walking_to_shadow	Components/Navigation/AutoWalk/AutoWalker.cs	1720	Walking to shadow, {0} steps.	正走向陰影，{0}步。	正走向阴影，{0}步。	$"Walking to shadow, {steps0} step{(steps0 == 1 ? "" : "s")}."
autowalk.engaged	Components/Navigation/AutoWalk/AutoWalker.cs	1742	Engaged!	接敵！	接敌！	
autowalk.another_shadow	Components/Navigation/AutoWalk/AutoWalker.cs	1772	Another shadow close!	又有陰影接近！	又有阴影接近！	
autowalk.closing_in	Components/Navigation/AutoWalk/AutoWalker.cs	1780	Closing in.	接近中。	接近中。	
autowalk.position_lost	Components/Navigation/AutoWalk/AutoWalker.cs	1212;1750	Position lost, stopping.	位置遺失，停止。	位置丢失，停止。	
autowalk.camera_lost	Components/Navigation/AutoWalk/AutoWalker.cs	1251;1328;1824	Camera unreadable, stopping.	無法讀取鏡頭，停止。	无法读取镜头，停止。	
autowalk.blocked_wall	Components/Navigation/AutoWalk/AutoWalker.cs	1343	Blocked by a wall.	被牆擋住。	被墙挡住。	
autowalk.stuck	Components/Navigation/AutoWalk/AutoWalker.cs	1369	Stuck.	卡住了。	卡住了。	
autowalk.shadow_lost	Components/Navigation/AutoWalk/AutoWalker.cs	1755	Shadow lost.	陰影不見了。	阴影不见了。	
autowalk.cant_reach	Components/Navigation/AutoWalk/AutoWalker.cs	1829	Can't reach it.	到不了。	到不了。	
autowalk.cancelled	Components/Navigation/AutoWalk/AutoWalker.cs	2171	Cancelled.	已取消。	已取消。	
autowalk.lost_focus	Components/Navigation/AutoWalk/AutoWalker.cs	2174	Lost focus.	視窗失去焦點。	窗口失去焦点。	
autowalk.battle	Components/Navigation/AutoWalk/AutoWalker.cs	2184	Battle.	戰鬥。	战斗。	
autowalk.floor_changed	Components/Navigation/AutoWalk/AutoWalker.cs	2185	Floor changed.	樓層改變。	楼层改变。	
autowalk.steps_remaining	Components/Navigation/AutoWalk/AutoWalker.cs	2200	{0} steps remaining.	剩{0}步。	剩{0}步。	$"{steps} step{(steps == 1 ? "" : "s")} remaining."
route.right_here	Components/Navigation/AutoWalk/RouteSpeech.cs	27;56	{0}: right here.	{0}：就在這裡。	{0}：就在这里。	$"{label}: right here."
route.dir_steps	Components/Navigation/AutoWalk/RouteSpeech.cs	59	{0}: {1}{2} steps.	{0}：{1}{2}步。	{0}：{1}{2}步。	$"{label}: {dir}{steps} step{(steps == 1 ? "" : "s")}."
route.slight_side	Components/Navigation/AutoWalk/RouteSpeech.cs	76	slight {0}	稍偏{0}	稍偏{0}	$"slight {side}"
route.sharp_side	Components/Navigation/AutoWalk/RouteSpeech.cs	78	sharp {0}	大幅偏{0}	大幅偏{0}	$"sharp {side}"
navassist.dungeon_no_data	Components/Navigation/NavigationAssist.cs	167	Dungeon area, no navigation data.	迷宮區域，沒有導航資料。	迷宫区域，没有导航数据。	
navassist.area_not_in_db	Components/Navigation/NavigationAssist.cs	167	Area not in database yet.	這個區域還沒收錄進資料庫。	这个区域还没收录进数据库。	
navassist.none_here	Components/Navigation/NavigationAssist.cs	259;280	No {0}s here.	這裡沒有{0}。	这里没有{0}。	$"No {label.ToLower()}s here."
navassist.count	Components/Navigation/NavigationAssist.cs	260	{0}: {1}	{0}：{1}	{0}：{1}	$"{plural}: {entries.Length}"
navassist.entry_pos	Components/Navigation/NavigationAssist.cs	294	{0} {1} of {2}	{0}第{1}個，共{2}個	{0}第{1}个，共{2}个	$"{label} {index + 1} of {total}"
navassist.entry_text	Components/Navigation/NavigationAssist.cs	296	{0}: {1}. {2}{3}	{0}：{1}。{2}{3}	{0}：{1}。{2}{3}	$"{pos}: {entry.Name}. {dist}{hint}"
navassist.browse_first_teleport	Components/Navigation/NavigationAssist.cs	335	Browse an entry first with the minus, equals, or bracket keys, then press backslash to teleport.	請先用減號、等號或中括號鍵瀏覽項目，再按反斜線傳送。	请先用减号、等号或中括号键浏览项目，再按反斜杠传送。	
navassist.no_recorded_position	Components/Navigation/NavigationAssist.cs	354	No recorded position for {0}. Walk there and press Numpad 7.	{0}沒有記錄位置。走到那裡按數字鍵盤7。	{0}没有记录位置。走到那里按小键盘7。	$"No recorded position for {name}. Walk there and press Numpad 7."
navassist.no_entry_data	Components/Navigation/NavigationAssist.cs	360	No entry data for this area. Press Numpad 8 to cycle entries, then try again.	這個區域沒有項目資料。按數字鍵盤8切換項目後再試。	这个区域没有项目数据。按小键盘8切换项目后再试。	
navassist.teleport_not_ready_moment	Components/Navigation/NavigationAssist.cs	460	Teleport not ready, try again in a moment.	傳送還沒準備好，稍後再試。	传送还没准备好，稍后再试。	
navassist.player_pos_wait	Components/Navigation/NavigationAssist.cs	663;718;750	Player position not available yet. Try again in a moment.	還取不到玩家位置，稍後再試。	还获取不到玩家位置，稍后再试。	
navassist.cycle_first_record	Components/Navigation/NavigationAssist.cs	651	Cycle to an entry first with minus, equals, or bracket keys, then press Numpad 7.	請先用減號、等號或中括號鍵切換到項目，再按數字鍵盤7。	请先用减号、等号或中括号键切换到项目，再按小键盘7。	
navassist.recorded_facing	Components/Navigation/NavigationAssist.cs	679	Recorded {0} at X {1}, Z {2}. Facing X {3}, Z {4}.	已記錄{0}，X {1}，Z {2}。面向X {3}，Z {4}。	已记录{0}，X {1}，Z {2}。面向X {3}，Z {4}。	$"Recorded {_lastAnnounced.Name} at X {px:F0}, Z {pz:F0}. Facing X {fx:F2}, Z {fz:F2}."
navassist.recorded_no_facing	Components/Navigation/NavigationAssist.cs	685	Recorded {0} at X {1}, Z {2}. Facing unavailable.	已記錄{0}，X {1}，Z {2}。無法取得面向。	已记录{0}，X {1}，Z {2}。无法获取面向。	$"Recorded {_lastAnnounced.Name} at X {px:F0}, Z {pz:F0}. Facing unavailable."
navassist.cycle_first_approach	Components/Navigation/NavigationAssist.cs	701	Cycle to an entry first, then press Numpad 9 to record your position as the approach point.	請先切換到項目，再按數字鍵盤9把目前位置記為接近點。	请先切换到项目，再按小键盘9把当前位置记为接近点。	
navassist.no_target_position	Components/Navigation/NavigationAssist.cs	706	{0} has no target position yet. Record the target first with Numpad 7.	{0}還沒有目標位置。請先按數字鍵盤7記錄目標。	{0}还没有目标位置。请先按小键盘7记录目标。	$"{_lastAnnounced.Name} has no target position yet. Record the target first with Numpad 7."
navassist.approach_set	Components/Navigation/NavigationAssist.cs	728	Approach point for {0} set at X {1}, Z {2}. {3} units from target.	已設定{0}的接近點，X {1}，Z {2}。距目標{3}單位。	已设定{0}的接近点，X {1}，Z {2}。距目标{3}单位。	$"Approach point for {_lastAnnounced.Name} set at X {px:F0}, Z {pz:F0}. {dist:F1} units from target."
navassist.approach_save_failed	Components/Navigation/NavigationAssist.cs	732	Could not save approach — record the target's position first with Numpad 7.	無法儲存接近點——請先按數字鍵盤7記錄目標位置。	无法保存接近点——请先按小键盘7记录目标位置。	
navassist.custom_added	Components/Navigation/NavigationAssist.cs	762	Added {0} at X {1}, Z {2}. Edit navigation positions JSON to rename.	已新增{0}，X {1}，Z {2}。要改名請編輯導航位置JSON。	已添加{0}，X {1}，Z {2}。要改名请编辑导航位置JSON。	$"Added {name} at X {px:F0}, Z {pz:F0}. Edit navigation positions JSON to rename."
navassist.custom_n	Components/Navigation/NavigationAssist.cs	757	Custom {0}	自訂{0}	自定义{0}	$"Custom {n}"
navassist.right_here	Components/Navigation/NavigationAssist.cs	780	right here	就在這裡	就在这里	
navassist.very_close	Components/Navigation/NavigationAssist.cs	781	very close {0}	{0}方很近	{0}方很近	$"very close {dir}"
navassist.nearby	Components/Navigation/NavigationAssist.cs	782	nearby {0}	{0}方不遠	{0}方不远	$"nearby {dir}"
navassist.steps_dir	Components/Navigation/NavigationAssist.cs	785	{0} steps {1}	{1}方{0}步	{1}方{0}步	$"{steps} step{(steps == 1 ? "" : "s")} {dir}"
room.entry_n	Components/RoomActionMenu.cs	149	Entry {0}.	項目{0}。	项目{0}。	$"Entry {e}."
room.nav_unavailable	Components/RoomActionMenu.cs	218	Navigation not available.	無法導航。	无法导航。	
room.cant_start_walk	Components/RoomActionMenu.cs	224	{0}: can't start the walk here.	{0}：沒辦法從這裡開始走。	{0}：没办法从这里开始走。	$"{o.label}: can't start the walk here."
room.press_to_interact	Components/RoomActionMenu.cs	238;248	{0}. Press to interact.	{0}。按鍵互動。	{0}。按键互动。	$"{o.label}. Press to interact."
room.press_if_near	Components/RoomActionMenu.cs	238;248	{0}. Press to interact if you're near it.	{0}。靠近時按鍵互動。	{0}。靠近时按键互动。	$"{o.label}. Press to interact if you're near it."
room.futon	Components/RoomActionMenu.cs	40	Futon	被褥	被褥	
room.small_desk	Components/RoomActionMenu.cs	41	Small desk	小桌子	小桌子	
room.tv	Components/RoomActionMenu.cs	42	TV	電視	电视	
room.desk	Components/RoomActionMenu.cs	43	Desk	書桌	书桌	
room.sofa	Components/RoomActionMenu.cs	44	Sofa	沙發	沙发	
room.calendar	Components/RoomActionMenu.cs	45	Calendar	日曆	日历	
room.fridge	Components/RoomActionMenu.cs	50	Fridge	冰箱	冰箱	
room.farm	Components/RoomActionMenu.cs	51	Farm	菜園	菜园	
room.aiya	Components/RoomActionMenu.cs	55	Aiya Chinese Diner	中華食堂愛家	中华食堂爱家	
room.bulletin_board	Components/RoomActionMenu.cs	56	Bulletin board	佈告欄	布告栏	
room.bus_stop	Components/RoomActionMenu.cs	60	Bus stop	公車站	公交车站	
room.okina_clothing	Components/RoomActionMenu.cs	67	Okina clothing store	沖奈服飾店	冲奈服饰店	
room.okina_theater	Components/RoomActionMenu.cs	68	Okina theater	沖奈電影院	冲奈电影院	
room.okina_cafe	Components/RoomActionMenu.cs	69	Okina Cafe	沖奈咖啡廳	冲奈咖啡厅	
place.art_room_back	Components/Navigation/PlaceNames.cs	18	Art Room, back	美術教室後方	美术教室后方	
place.art_room_front	Components/Navigation/PlaceNames.cs	18	Art Room, front	美術教室前方	美术教室前方	
place.english_room_back	Components/Navigation/PlaceNames.cs	19	English Room, back	英語教室後方	英语教室后方	
place.english_room_front	Components/Navigation/PlaceNames.cs	19	English Room, front	英語教室前方	英语教室前方	
place.crafts_room_back	Components/Navigation/PlaceNames.cs	20	Crafts Room, back	工藝教室後方	工艺教室后方	
place.crafts_room_front	Components/Navigation/PlaceNames.cs	20	Crafts Room, front	工藝教室前方	工艺教室前方	
place.sewing_room_back	Components/Navigation/PlaceNames.cs	21	Sewing Room, back	縫紉教室後方	缝纫教室后方	
place.sewing_room_front	Components/Navigation/PlaceNames.cs	21	Sewing Room, front	縫紉教室前方	缝纫教室前方	
place.broadcasting_back	Components/Navigation/PlaceNames.cs	22	Broadcasting Room, back	廣播室後方	广播室后方	
